title,institution,university,research_fields,location,researcher_names,application_deadline,date_posted,job_url,source_website,duration,description,employment_type,salary,visa_sponsorship,dedup_key,first_seen,last_seen
Junior Research Scientist (Prof. Ursu & Prof. Liu),NYU Stern School of Business Marketing Department,NYU Stern School of Business Marketing Department,"Economics, Statistics, Marketing, Finance, Computer Science, Mathematics, Operations Research, Machine Learning, Physics",,Raluca Ursu & Xiao Liu,"July 16, 2026",,https://bit.ly/4xajHsK,predoc.org,,"Researcher Names: Raluca Ursu & Xiao Liu | Institution: NYU Stern School of Business Marketing Department | Research Fields: Economics, Statistics, Marketing, Finance, Computer Science, Mathematics, Operations Research, Machine Learning, Physics | Application Deadline: July 16, 2026 | Visa Sponsorship: While we cannot explicitly promise a successful visa sponsorship to any applicant, we are willing and open to consider all candidates, including international students.",,,"While we cannot explicitly promise a successful visa sponsorship to any applicant, we are willing and open to consider all candidates, including international students.",url:https://bit.ly/4xajHsK,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
"(Senior) Research/Data Analyst, Housing Center",American Enterprise Institute (AEI),American Enterprise Institute (AEI),Housing policy,,,Rolling – position will start ASAP.,,https://bit.ly/43KNdYy,predoc.org,,Institution: American Enterprise Institute (AEI) | Research Fields: Housing policy | Application Deadline: Rolling – position will start ASAP.,,,,url:https://bit.ly/43KNdYy,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
Research Assistant: Foreign and Defense Policy; Demographics and Political Economy,American Enterprise Institute (AEI),American Enterprise Institute (AEI),Demographics and political economy,,Dr. Nicholas Eberstadt,Rolling – position will start ASAP.,,https://bit.ly/4frCcTg,predoc.org,,Researcher Names: Dr. Nicholas Eberstadt | Institution: American Enterprise Institute (AEI) | Research Fields: Demographics and political economy | Application Deadline: Rolling – position will start ASAP.,,,,url:https://bit.ly/4frCcTg,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
"Research Assistant, Economic Policy Studies",American Enterprise Institute (AEI),American Enterprise Institute (AEI),"Tax policy, public finance, and international macroeconomics",,"Various AEI scholars focusing on tax policy, public finance, and international macroeconomics.",Rolling – position will likely start in the fall.,,https://bit.ly/4enf9aW,predoc.org,,"Researcher Names: Various AEI scholars focusing on tax policy, public finance, and international macroeconomics. | Institution: American Enterprise Institute (AEI) | Research Fields: Tax policy, public finance, and international macroeconomics | Application Deadline: Rolling – position will likely start in the fall.",,,,url:https://bit.ly/4enf9aW,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
"Research Assistant, Health Care and Budget Policy",American Enterprise Institute (AEI),American Enterprise Institute (AEI),"Health care policy, the federal budget, and entitlement program reform",,"Various AEI scholars focusing on health care policy, the federal budget, and entitlement program reform.",Rolling – position will likely start ASAP.,,https://bit.ly/4ec2tmi,predoc.org,,"Researcher Names: Various AEI scholars focusing on health care policy, the federal budget, and entitlement program reform. | Institution: American Enterprise Institute (AEI) | Research Fields: Health care policy, the federal budget, and entitlement program reform | Application Deadline: Rolling – position will likely start ASAP.",,,,url:https://bit.ly/4ec2tmi,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
"Pre-Doctoral Researcher, Education","Blueprint Labs, MIT","Blueprint Labs, MIT","Economics, Education",,"Josh Angrist, Parag Pathak","Rolling with priority deadline of August 2, 2026 at 11:59pm ET.",,https://bit.ly/3Sk8PZb,predoc.org,,"Researcher Names: Josh Angrist, Parag Pathak | Institution: Blueprint Labs, MIT | Research Fields: Economics, Education | Application Deadline: Rolling with priority deadline of August 2, 2026 at 11:59pm ET. | Visa Sponsorship: This position is not eligible for visa sponsorship and applicants must have US work authorization by the start of employment.",,,This position is not eligible for visa sponsorship and applicants must have US work authorization by the start of employment.,url:https://bit.ly/3Sk8PZb,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
"Pre-Doctoral Researcher, Workforce","Blueprint Labs, MIT","Blueprint Labs, MIT","Economics, Workforce/Labor, Education",,"Daron Acemoglu, David Autor, Simon Johnson","Rolling with priority deadline of August 2, 2026 at 11:59pm ET.",,https://bit.ly/4v0oRpy,predoc.org,,"Researcher Names: Daron Acemoglu, David Autor, Simon Johnson | Institution: Blueprint Labs, MIT | Research Fields: Economics, Workforce/Labor, Education | Application Deadline: Rolling with priority deadline of August 2, 2026 at 11:59pm ET. | Visa Sponsorship: This position is not eligible for visa sponsorship and applicants must have US work authorization by the start of employment.",,,This position is not eligible for visa sponsorship and applicants must have US work authorization by the start of employment.,url:https://bit.ly/4v0oRpy,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
"Pre-Doctoral Researcher, Health Care & AI","Blueprint Labs, MIT","Blueprint Labs, MIT","Economics, AI, Health Care",,Nikhil Agarwal,"Rolling with priority deadline of August 2, 2026 at 11:59pm ET.",,https://bit.ly/4x3VTqx,predoc.org,,"Researcher Names: Nikhil Agarwal | Institution: Blueprint Labs, MIT | Research Fields: Economics, AI, Health Care | Application Deadline: Rolling with priority deadline of August 2, 2026 at 11:59pm ET. | Visa Sponsorship: This position is not eligible for visa sponsorship and applicants must have US work authorization by the start of employment.",,,This position is not eligible for visa sponsorship and applicants must have US work authorization by the start of employment.,url:https://bit.ly/4x3VTqx,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
Research Assistant,Northwestern University and J-PAL,Northwestern University and J-PAL,Development; Finance,,"Erik Berwart, Sean Higgins, Sheisha Kulkarni, Santiago Truffa",Rolling,,https://bit.ly/4uRYFh5,predoc.org,,"Researcher Names: Erik Berwart, Sean Higgins, Sheisha Kulkarni, Santiago Truffa | Institution: Northwestern University and J-PAL | Research Fields: Development; Finance | Application Deadline: Rolling",,,,url:https://bit.ly/4uRYFh5,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
Pre-Doc in Applied AI,"University of California, San Diego Rady School of Management","University of California, San Diego Rady School of Management","Data Science and Tech Innovation, Urban, Artificial Intelligence",,Anya Samek & Erik Johnson,Rolling,,https://bit.ly/4nRYwaJ,predoc.org,,"Researcher Names: Anya Samek & Erik Johnson | Institution: University of California, San Diego Rady School of Management | Research Fields: Data Science and Tech Innovation, Urban, Artificial Intelligence | Application Deadline: Rolling",,,,url:https://bit.ly/4nRYwaJ,2026-06-11T00:04:16.367654+00:00,2026-06-11T00:07:19.670835+00:00
